iso3;country;continent;area_km2;highest_point;highest_point_m;capital;latitude;longitude;avg_temp_c;avg_precip_mm;description;source_climate
SVK;Eslováquia;Europa;0.049034;Gerlachovský štít;2654.4;Bratislava;48.144722222;17.112777777;;;país na Europa Central;
SVN;Eslovénia;Europa;0.020271;Monte Triglav;2864.0;Liubliana;46.051388888;14.506111111;;;país na Europa Central;
SWE;Suécia;Europa;0.44742516;Kebnekaise;2096.8;Estocolmo;59.329444444;18.068611111;;;país da Europa;
SWZ;Essuatíni;África;0.017364;Emlembe;1862.0;Lobamba;-26.44648;31.206411;;;país na África Austral;
SWZ;Essuatíni;África;0.017364;Emlembe;1862.0;Mebabane;-26.316666666;31.133333333;;;país na África Austral;
SXM;São Martinho;América do Norte e América Central;3.4e-05;;;Philipsburg;18.024166666;-63.043333333;;;país na ilha caribenha de São Martinho, parte do Reino dos Países Baixos;
SYC;Seychelles;África;0.000459;Morne Seychellois;905.0;Victoria;-4.623611111;55.454444444;;;país insular no Oceano Índico;
SYR;Síria;Ásia;0.18518;Monte Hérmon;2813.95;Damasco;33.513055555;36.291944444;;;país na Ásia Ocidental;
TCD;Chade;África;1.284;Emi Koussi;3445.0;Jamena;12.11;15.05;;;país africano;
TGO;Togo;África;0.056785;Monte Agou;986.0;Lomé;6.13;1.215833333;;;país de África;
THA;Tailândia;Ásia;0.5131195;Doi Inthanon;2565.0;Banguecoque;13.75;100.516666666;;;país da Ásia;
TJK;Tajiquistão;Ásia;0.1431;Pico Ismail Samani;7495.0;Duchambe;38.573055555;68.786388888;;;país na Ásia central;
TKM;Turquemenistão;Ásia;0.49121;Aýrybaba;3139.0;Asgabate;37.95;58.383333333;;;país na Ásia Central;
TLS;Timor-Leste;Ásia;0.01491872;Foho Tatamailau;2963.0;Díli;-8.553611111;125.578333333;;;país no Sudeste Asiático;
TON;Tonga;Oceania;0.000748506563;Kao;1030.0;Nuku'alofa;-21.1343401;-175.201808;;;país insular da Oceânia;
TTO;Trindade e Tobago;América do Norte e América Central;0.005128;El Cerro del Aripo;940.0;Port of Spain;10.666666666;-61.516666666;;;país no Caribe;
TUN;Tunísia;África;0.16361;Djebel Chambi;1544.0;Tunes;36.800833333;10.18;;;país do norte da África;
TUR;Turquia;Ásia;0.783562;Monte Ararat;5137.0;Ancara;39.93576;32.83869;;;país abrangendo a Ásia Ocidental e o sudeste da Europa;
TUV;Tuvalu;Oceania;2.514e-05;Niulakita;4.6;Funafuti;-8.504777777;179.117361111;;;país insular na Oceania;
TUV;Tuvalu;Oceania;2.514e-05;Niulakita;4.6;Funafuti;-8.504777777;179.117361111;;;país insular na Oceania;
TWN;Taiwan;Ásia;0.036193;Yu Shan;3952.0;Taipé;25.0375;121.5625;;;país insular na Ásia Oriental;
TZA;Tanzânia;África;0.947303;Kibo;5895.0;Dodoma;-6.1835;35.746;;;país de África;
UGA;Uganda;África;0.241038;Monte Stanley;5109.0;Campala;0.313611111;32.581111111;;;país de África;
UKR;Ucrânia;Europa;0.60355;Hoverla;2061.0;Kiev;50.45;30.523611111;;;país na Europa Oriental;
URY;Uruguai;América do Sul;0.176215;Cerro Catedral;513.7;Montevidéu;-34.905916666;-56.191311111;;;país na América do Sul;
USA;Estados Unidos;América do Norte e América Central;9.826675;Monte Denali;6190.0;Washington, D.C.;38.895;-77.036666666;;;país na América do Norte;
UZB;Uzbequistão;Ásia;0.448978;Khazret Sultan;4643.0;Tasquente;41.311111111;69.279722222;;;país da Ásia Central;
