iso3;country;item;url_slug;ranking;score;critics;source
PAK;Paquistão;Chapli kabab;chapli-kabab;;2;2;tasteatlas_html
SGP;Singapura;Char kway teow;char-kway-teow;3;12;12;tasteatlas_html
CHL;Chile;Charquicán;charquican;;2;2;tasteatlas_html
CHN;China;Chāshāo;char-siu;;;;tasteatlas_html
CHN;China;Chāshāo bāo Cha siu bao;cha-siu-bao;2;10;10;tasteatlas_html
NPL;Nepal;Chatamari;chatamari;;2;2;tasteatlas_html
JPN;Japão;Chawanmushi;chawanmushi;;1;1;tasteatlas_html
JPN;Japão;Chazuke;chazuke;;;;tasteatlas_html
VNM;Vietname;Chè;che;;2;2;tasteatlas_html
VNM;Vietname;Chè hạt sen;che-hat-sen;;;;tasteatlas_html
ALB;Albânia;Cheese;Cheese;;;;tasteatlas_html
ARG;Argentina;Cheese;Cheese;;;;tasteatlas_html
AUS;Austrália;Cheese;Cheese;;;;tasteatlas_html
BIH;Bósnia e Herzegovina;Cheese;Cheese;;;;tasteatlas_html
BRA;Brasil;Cheese;Cheese;;;;tasteatlas_html
CAN;Canadá;Cheese;Cheese;;;;tasteatlas_html
CHL;Chile;Cheese;Cheese;;;;tasteatlas_html
COL;Colômbia;Cheese;Cheese;;;;tasteatlas_html
CYP;Chipre;Cheese;Cheese;;;;tasteatlas_html
DEU;Alemanha;Cheese;Cheese;;;;tasteatlas_html
DNK;Dinamarca;Cheese;Cheese;;;;tasteatlas_html
ESP;Espanha;Cheese;Cheese;;;;tasteatlas_html
EST;Estónia;Cheese;Cheese;;;;tasteatlas_html
FIN;Finlândia;Cheese;Cheese;;;;tasteatlas_html
FRA;França;Cheese;Cheese;;;;tasteatlas_html
GBR;Reino Unido;Cheese;Cheese;;;;tasteatlas_html
GRC;Grécia;Cheese;Cheese;;;;tasteatlas_html
IND;Índia;Cheese;Cheese;;;;tasteatlas_html
