Iso3Start;Level;QID;Label;FormationYear;SourceFlag
GHA;1;Q797527;Togolândia britânica;1916;seed_evidence
GHA;2;Q23498721;Costa do Ouro;;seed_evidence
VIR;0;Q11703;Ilhas Virgens Americanas;;seed
VIR;1;Q829655;Índias Ocidentais Dinamarquesas;1754;seed_evidence
PRI;0;Q1183;Porto Rico;;seed
ATF;0;Q129003;Terras Austrais e Antárticas Francesas;;seed
ATF;1;Q5501842;French Madagascar;1897;seed_evidence
ATF;2;Q1071439;Reino de Madagascar;1540;seed_evidence
ATF;2;Q16540904;Colony of Mayotte and Dependencies;1886;seed_evidence
ATF;2;Q25424205;Sultanate of Mohéli;1830;seed_evidence
HMD;0;Q131198;Ilha Heard e Ilhas McDonald;;seed
MSR;0;Q13353;Monserrate;;seed
MSR;1;Q652560;Federação das Índias Ocidentais;1958;seed_evidence
MSR;2;Q920396;Índias Ocidentais Britânicas;1783;seed_evidence
MSR;2;Q116282722;Colony of Trinidad and Tobago;1889;seed_evidence
GIB;0;Q1410;Gibraltar;;seed
GIB;1;Q1796239;Taifa de Sevilha;1248;seed_evidence
GIB;2;Q199688;Califado Almóada;1121;seed_evidence
FRA;0;Q142;França;;seed
FRA;1;Q2313140;Republic of Bouillon;1794;seed_evidence
FRA;1;Q70972;Reino da França;987;seed_evidence
FRA;1;Q3559284;Free Cities of Menton and Roquebrune;1848;seed_evidence
FRA;1;Q3446152;Reino de Bora Bora;;seed_evidence
FRA;1;Q684430;Rauracian Republic;1792;seed_evidence
FRA;2;Q688859;Ducado de Bulhão;;seed_evidence
FRA;2;Q538677;Império Plantageneta;1154;seed_evidence
FRA;2;Q46370;Frância Ocidental;843;seed_evidence
FRA;2;Q3456417;República de Saint-Malo;1590;seed_evidence
FRA;2;Q63021609;Kingdom of Navarre beyond the Pyrenees;1512;seed_evidence
FRA;2;Q100272879;Principality of Dombes;1560;seed_evidence
FRA;2;Q235;Mónaco;1297;seed_evidence
GBR;0;Q145;Reino Unido;;seed
GBR;1;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1801;seed_evidence
GBR;2;Q161885;Reino da Grã-Bretanha;1707;successor_resolved
GBR;2;Q215530;Reino da Irlanda;1542;seed_evidence
CHN;0;Q148;China;;seed
CHN;1;Q13426199;República da China;1912;seed_evidence
CHN;1;Q4120908;Inner Mongolian People's Republic;1945;seed_evidence
CHN;2;Q30623;Manchukuo;1932;successor_resolved
BRA;0;Q155;Brasil;;seed
BRA;1;Q2088324;Colónia do Brasil;1500;seed_evidence
BRA;1;Q217230;Império do Brasil;1822;seed_evidence
BRA;2;Q3932042;Reino do Brasil;1815;seed_evidence
BRA;2;Q903779;Reino Unido de Portugal, Brasil e Algarves;1815;seed_evidence
RUS;0;Q159;Rússia;;seed
RUS;1;Q15180;União Soviética;1922;seed_evidence
RUS;1;Q2184;República Socialista Federativa Soviética Russa;1917;successor_resolved
RUS;2;Q545205;República Socialista Federativa Soviética Transcaucasiana;1922;seed_evidence
RUS;2;Q2184;República Socialista Federativa Soviética Russa;1917;successor_resolved
RUS;2;Q2369784;Interwar Latvia;1918;seed_evidence
RUS;2;Q2305208;Rússia bolchevique;1917;seed_evidence
RUS;2;Q61292;República do Extremo Oriente;1920;seed_evidence
RUS;2;Q4533605;Rússia do Sul;1919;seed_evidence
RUS;2;Q139319;República Russa;1917;seed_evidence
RUS;2;Q2305208;Rússia bolchevique;1917;seed_evidence
CAN;0;Q16;Canadá;;seed
CAN;1;Q1121436;Província do Canadá;1841;seed_evidence
CAN;2;Q795427;Canadá Superior;1791;seed_evidence
CAN;2;Q7721124;The Canadas;1791;seed_evidence
CAN;2;Q1134180;Canadá Inferior;1791;seed_evidence
GUM;0;Q16635;Guam;;seed
