iso3;qid_country;lang_qid;lang_label;scope;region_label;start_year;end_year;country_label_pt;country_label_en;lang_label_pt;lang_label_en
PAK;Q843;Q1860;inglês;national;;;;Paquistão;Pakistan;inglês;English
PAN;Q804;Q1321;espanhol;national;;;;Panamá;Panama;espanhol;Spanish
PCN;Q35672;Q1860;inglês;national;;;;Ilhas Pitcairn;Pitcairn Islands;inglês;English
PCN;Q35672;Q36554;pitcairnes;national;;;;Ilhas Pitcairn;Pitcairn Islands;pitcairnes;Pitkern
PER;Q419;Q1321;espanhol;national;;;;Peru;Peru;espanhol;Spanish
PER;Q419;Q4627;Língua aymará;national;;;;Peru;Peru;Língua aymará;Aymara
PER;Q419;Q5218;quíchua;national;;;;Peru;Peru;quíchua;Quechua
PHL;Q928;Q2530387;Taglish;national;;;;Filipinas;Philippines;Taglish;Taglish
PHL;Q928;Q1860;inglês;national;;;;Filipinas;Philippines;inglês;English
PHL;Q928;Q33298;filipino;national;;;;Filipinas;Philippines;filipino;Filipino
PLW;Q695;Q1860;inglês;national;;;;Palau;Palau;inglês;English
PLW;Q695;Q5287;japonês;regional;Angaur;;;Palau;Palau;japonês;Japanese
PLW;Q695;Q33776;palauense;national;;;;Palau;Palau;palauense;Palauan
PNG;Q691;Q33617;Língua hiri motu;national;;;;Papua-Nova Guiné;Papua New Guinea;Língua hiri motu;Hiri Motu
PNG;Q691;Q25044405;Língua de sinais da Papua-Nova Guiné;national;;;;Papua-Nova Guiné;Papua New Guinea;Língua de sinais da Papua-Nova Guiné;Papua New Guinean Sign Language
PNG;Q691;Q34159;Tok Pisin;national;;;;Papua-Nova Guiné;Papua New Guinea;Tok Pisin;Tok Pisin
PNG;Q691;Q1860;inglês;national;;;;Papua-Nova Guiné;Papua New Guinea;inglês;English
POL;Q36;Q809;polaco;national;;;;Polónia;Poland;polaco;Polish
POL;Q36;Q30319;silesiano;national;;;;Polónia;Poland;silesiano;Silesian
POL;Q36;Q33690;cassúbio;national;;;;Polónia;Poland;cassúbio;Kashubian
